link,text,type,author,author_link,date,likes,comments,reposts,views,keywords_matched
https://vk.com/wall-221142732_9278,"Нас не сломить. Ни пеплом, ни разрухой.
А мягкий мишка — напоминание, что победа нужна ради будущего.🇷🇺",Пост,,,19:41 24.07.2025,58,5,0,1908,"Нас не сломить. Ни пеплом, ни разрухой., А мягкий мишка — напоминание, что победа нужна ради будущего."
https://vk.com/wall-161845830_381939,"Нас не сломить. Ни пеплом, ни разрухой.

А мягкий мишка — напоминание, что победа нужна ради будущего.",Пост,,,19:27 24.07.2025,316,0,1,14036,"Нас не сломить. Ни пеплом, ни разрухой., А мягкий мишка — напоминание, что победа нужна ради будущего."
https://vk.com/wall-98660148_823772,"Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.✊",Пост,,,19:17 24.07.2025,16,1,0,394,"Даже в боевых условиях человек остаётся человеком., Добро всегда найдёт себе место — даже на передовой."
https://vk.com/wall-210812857_607149,"🇷🇺🇷🇺🇷🇺🙏
Нас не сломить. Ни пеплом, ни разрухой.
А мягкий мишка — напоминание, что победа нужна ради будущего.",Пост,,,19:08 24.07.2025,54,0,0,2493,"Нас не сломить. Ни пеплом, ни разрухой., А мягкий мишка — напоминание, что победа нужна ради будущего."
https://vk.com/wall-152048620_79570,"Нас не сломить. Ни пеплом, ни разрухой.
А мягкий мишка — напоминание, что победа нужна ради будущего.",Пост,,,18:49 24.07.2025,181,0,0,8685,"Нас не сломить. Ни пеплом, ни разрухой., А мягкий мишка — напоминание, что победа нужна ради будущего."
https://vk.com/wall-150020650_2111758,"Нас не сломить. Ни пеплом, ни разрухой.

А мягкий мишка — напоминание, что победа нужна ради будущего.",Пост,,,18:47 24.07.2025,566,3,4,20753,"Нас не сломить. Ни пеплом, ни разрухой., А мягкий мишка — напоминание, что победа нужна ради будущего."
https://vk.com/wall-229357719_14448,"Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.🇷🇺",Пост,,,18:37 24.07.2025,23,0,0,240,"Даже в боевых условиях человек остаётся человеком., Добро всегда найдёт себе место — даже на передовой."
https://vk.com/wall-226599028_90791,"Нас не сломить. Ни пеплом, ни разрухой.
А мягкий мишка — напоминание, что победа нужна ради будущего.",Пост,,,18:19 24.07.2025,177,5,1,2619,"Нас не сломить. Ни пеплом, ни разрухой., А мягкий мишка — напоминание, что победа нужна ради будущего."
https://vk.com/wall-25943575_1158294,Лис передает всем доброе утро,Пост,,,18:07 24.07.2025,236,8,0,3367,Лис передает всем доброе утро
https://vk.com/wall-147085429_119872,"Нас не сломить. Ни пеплом, ни разрухой.
А мягкий мишка — напоминание, что победа нужна ради будущего.",Пост,,,18:00 24.07.2025,28,4,0,870,"Нас не сломить. Ни пеплом, ни разрухой., А мягкий мишка — напоминание, что победа нужна ради будущего."
https://vk.com/wall-210977948_171726,"Нас не сломить. Ни пеплом, ни разрухой.
А мягкий мишка — напоминание, что победа нужна ради будущего.",Пост,,,18:00 24.07.2025,6,4,1,101,"Нас не сломить. Ни пеплом, ни разрухой., А мягкий мишка — напоминание, что победа нужна ради будущего."
https://vk.com/wall-125866183_516880,"Нас не сломить. Ни пеплом, ни разрухой.
А мягкий мишка — напоминание, что победа нужна ради будущего.",Пост,,,17:35 24.07.2025,7,0,1,252,"Нас не сломить. Ни пеплом, ни разрухой., А мягкий мишка — напоминание, что победа нужна ради будущего."
https://vk.com/wall-125866183_516879,"Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.",Пост,,,17:30 24.07.2025,9,0,0,254,"Даже в боевых условиях человек остаётся человеком., Добро всегда найдёт себе место — даже на передовой."
https://vk.com/wall-69052778_234558,"❗Нас не сломить. Ни пеплом, ни разрухой.

❤ — А мягкий мишка — напоминание, что победа нужна ради будущего.

🤍 [https://vk.com/wall-69052778_111823|ТГ канал «Шёпот Белгород»] 🤍 
 
💙 [https://vk.com/shepot_belgorod1231|Прислать новость] [https://vk.com/shepot_belgorod1231|/] [https://vk.com/shepot_belgorod1231|Писать по рекламе]",Пост,,,17:30 24.07.2025,26,2,0,1511,"Нас не сломить. Ни пеплом, ни разрухой., А мягкий мишка — напоминание, что победа нужна ради будущего."
https://vk.com/wall-125866183_516874,Лис передает всем доброе утро,Пост,,,17:20 24.07.2025,27,1,0,360,Лис передает всем доброе утро
https://vk.com/wall-63960562_343048,"Нас не сломить. Ни пеплом, ни разрухой.
А мягкий мишка — напоминание, что победа нужна ради будущего.",Пост,,,17:12 24.07.2025,1,0,0,88,"Нас не сломить. Ни пеплом, ни разрухой., А мягкий мишка — напоминание, что победа нужна ради будущего."
https://vk.com/wall-229357719_14443,"Нас не сломить. Ни пеплом, ни разрухой.
А мягкий мишка — напоминание, что победа нужна ради будущего.🇷🇺",Пост,,,17:09 24.07.2025,55,0,0,409,"Нас не сломить. Ни пеплом, ни разрухой., А мягкий мишка — напоминание, что победа нужна ради будущего."
https://vk.com/wall-200203334_62749,"Нас не сломить. Ни пеплом, ни разрухой.
А мягкий мишка — напоминание, что победа нужна ради будущего.",Пост,,,17:02 24.07.2025,122,5,1,1059,"Нас не сломить. Ни пеплом, ни разрухой., А мягкий мишка — напоминание, что победа нужна ради будущего."
https://vk.com/wall-210812857_607130,"🇷🇺🇷🇺🇷🇺🙏
Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.",Пост,,,16:53 24.07.2025,115,2,0,3546,"Даже в боевых условиях человек остаётся человеком., Добро всегда найдёт себе место — даже на передовой."
https://vk.com/wall-210977948_171717,"Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.",Пост,,,16:30 24.07.2025,12,0,0,138,"Даже в боевых условиях человек остаётся человеком., Добро всегда найдёт себе место — даже на передовой."
https://vk.com/wall-224831014_34976,"Нас не сломить. Ни пеплом, ни разрухой.
А мягкий мишка — напоминание, что победа нужна ради будущего.",Пост,,,16:10 24.07.2025,35,1,1,439,"Нас не сломить. Ни пеплом, ни разрухой., А мягкий мишка — напоминание, что победа нужна ради будущего."
https://vk.com/wall-227552131_32909,"Нас не сломить. Ни пеплом, ни разрухой.
А мягкий мишка — напоминание, что победа нужна ради будущего.",Пост,,,15:58 24.07.2025,61,4,0,546,"Нас не сломить. Ни пеплом, ни разрухой., А мягкий мишка — напоминание, что победа нужна ради будущего."
https://vk.com/wall-224831014_34969,Лис передает всем доброе утро,Пост,,,15:33 24.07.2025,11,0,1,254,Лис передает всем доброе утро
https://vk.com/wall-224831014_34967,"Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.",Пост,,,15:33 24.07.2025,11,0,2,302,"Даже в боевых условиях человек остаётся человеком., Добро всегда найдёт себе место — даже на передовой."
https://vk.com/wall-227552131_32900,Лис передает всем доброе утро,Пост,,,15:26 24.07.2025,20,2,0,326,Лис передает всем доброе утро
https://vk.com/wall-227552131_32898,"Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.",Пост,,,15:26 24.07.2025,28,2,0,352,"Даже в боевых условиях человек остаётся человеком., Добро всегда найдёт себе место — даже на передовой."
https://vk.com/wall-148824521_116485,Лис передает всем доброе утро,Пост,,,15:05 24.07.2025,17,0,0,392,Лис передает всем доброе утро
https://vk.com/wall-148824521_116483,"Даже в боевых условиях человек остаётся человеком.
Добро всегда найдёт себе место — даже на передовой.",Пост,,,15:05 24.07.2025,15,0,0,405,"Даже в боевых условиях человек остаётся человеком., Добро всегда найдёт себе место — даже на передовой."
https://vk.com/wall-210977948_171710,Лис передает всем доброе утро,Пост,,,15:00 24.07.2025,5,0,0,94,Лис передает всем доброе утро
https://vk.com/wall-68164411_114468,"Даже в боевых условиях человек остаётся человеком. Добро всегда найдёт себе место — даже на передовой.

#СВО #РОССИЯ2025 #РусскийМир #МИРZ 🇷🇺",Пост,,,15:00 24.07.2025,11,0,0,136,"Даже в боевых условиях человек остаётся человеком., Добро всегда найдёт себе место — даже на передовой."
https://vk.com/wall-221267807_163904,Лис передает всем доброе утро,Пост,,,13:56 24.07.2025,66,3,0,801,Лис передает всем доброе утро
