keyword,post_text,author,date,time,timestamp,likes,comments,shares,post_id,owner_id,attachments,Ссылка
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍",Группа 176240918,19.07.2025,18:07,1752912453,4,0,0,52057,-176240918,photo,https://vk.com/wall-176240918_52057
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍",Группа 223272296,19.07.2025,16:43,1752907384,76,2,0,151889,-223272296,photo,https://vk.com/wall-223272296_151889
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍",Группа 106160452,19.07.2025,15:18,1752902280,58,0,2,648657,-106160452,photo,https://vk.com/wall-106160452_648657
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍",Группа 128602810,19.07.2025,15:07,1752901647,366,23,5,456772,-128602810,photo,https://vk.com/wall-128602810_456772
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍",Группа 218311823,19.07.2025,07:00,1752872400,285,13,0,280422,-218311823,photo,https://vk.com/wall-218311823_280422
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","🇷🇺🇷🇺🇷🇺🙏
Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍",Группа 210812857,19.07.2025,02:14,1752855284,86,2,0,606142,-210812857,photo,https://vk.com/wall-210812857_606142
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍

Источник: [https://vk.com/wall-214241020_781284|Сводки СВО | Армия | Россия]",Группа 32224630,18.07.2025,23:01,1752843666,3,1,0,161828,-32224630,"link, photo",https://vk.com/wall-32224630_161828
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍",Группа 224831014,18.07.2025,21:22,1752837766,7,0,1,34579,-224831014,photo,https://vk.com/wall-224831014_34579
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍",Группа 176240918,18.07.2025,21:18,1752837484,12,0,0,52035,-176240918,photo,https://vk.com/wall-176240918_52035
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍",Группа 98660148,18.07.2025,21:09,1752836992,16,0,0,822883,-98660148,photo,https://vk.com/wall-98660148_822883
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍",Группа 223272296,18.07.2025,20:20,1752834029,39,0,0,151804,-223272296,photo,https://vk.com/wall-223272296_151804
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍",Группа 125866183,18.07.2025,20:20,1752834017,18,0,1,516454,-125866183,photo,https://vk.com/wall-125866183_516454
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","для наших героев предусмотрена всякая помощь, даже медико-психологическая реабилитация. Думаю что она будет кстати, все таки солдаты на СВО выполняют очень трудные задачи

---------------------------------

*Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍*",Пользователь 1044104285,18.07.2025,20:09,1752833395,0,0,0,20,1044104285,Без вложений,https://vk.com/wall1044104285_20
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","Кстати, трудовые гарантии для наших бойцов СВО сохраняются, так что о будущем они могут не переживать

----------------------------------

*Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍*",Пользователь 1043885722,18.07.2025,20:09,1752833393,0,0,0,23,1043885722,Без вложений,https://vk.com/wall1043885722_23
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍",Группа 148824521,18.07.2025,19:01,1752829318,27,4,0,116419,-148824521,photo,https://vk.com/wall-148824521_116419
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍",Группа 210977948,18.07.2025,18:30,1752827400,5,0,0,171082,-210977948,photo,https://vk.com/wall-210977948_171082
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍",Группа 219816384,18.07.2025,17:19,1752823199,1100,23,40,165986,-219816384,photo,https://vk.com/wall-219816384_165986
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍",Группа 227552131,18.07.2025,17:18,1752823128,31,0,0,31878,-227552131,photo,https://vk.com/wall-227552131_31878
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍",Группа 226389423,18.07.2025,17:17,1752823061,145,1,0,9931,-226389423,photo,https://vk.com/wall-226389423_9931
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍",Группа 152048620,18.07.2025,17:01,1752822072,367,1,0,79237,-152048620,photo,https://vk.com/wall-152048620_79237
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍",Группа 202120091,18.07.2025,16:50,1752821436,441,8,0,269158,-202120091,photo,https://vk.com/wall-202120091_269158
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍

Новости в тг t.me/moskva24novosti

Другая тема taplink.cc/vk_select",Группа 229374911,18.07.2025,16:46,1752821209,0,1,0,16708,-229374911,photo,https://vk.com/wall-229374911_16708
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍

Новости в тг t.me/moskva24novosti

Другая тема taplink.cc/vk_select",Группа 229374823,18.07.2025,16:46,1752821204,0,1,0,15598,-229374823,photo,https://vk.com/wall-229374823_15598
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍

Новости в тг t.me/moskva24novosti

Другая тема taplink.cc/vk_select",Группа 229374888,18.07.2025,16:46,1752821200,0,1,0,16788,-229374888,photo,https://vk.com/wall-229374888_16788
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍

Новости в тг t.me/moskva24novosti

Другая тема taplink.cc/vk_select",Группа 32350763,18.07.2025,16:46,1752821196,1,1,0,43702,-32350763,photo,https://vk.com/wall-32350763_43702
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍

Новости в тг t.me/moskva24novosti

Другая тема taplink.cc/vk_select",Группа 229395764,18.07.2025,16:46,1752821190,0,1,0,16598,-229395764,photo,https://vk.com/wall-229395764_16598
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍",Группа 221267807,18.07.2025,16:37,1752820639,27,0,0,163368,-221267807,photo,https://vk.com/wall-221267807_163368
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍",Группа 147085429,18.07.2025,16:32,1752820375,43,5,0,118995,-147085429,photo,https://vk.com/wall-147085429_118995
"Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу","Наши бойцы в зоне СВО. Сильные, спокойные, собранные. Делают свою работу 👍",Группа 214241020,18.07.2025,16:14,1752819271,686,7,0,781284,-214241020,photo,https://vk.com/wall-214241020_781284
